0.000000e+00 1:0.000000e+00 2:0.000000e+00
2.441406e-04 1:0.000000e+00 2:6.250000e-02
1.953125e-03 1:0.000000e+00 2:1.250000e-01
6.591797e-03 1:0.000000e+00 2:1.875000e-01
1.562500e-02 1:0.000000e+00 2:2.500000e-01
3.051758e-02 1:0.000000e+00 2:3.125000e-01
5.273438e-02 1:0.000000e+00 2:3.750000e-01
8.374023e-02 1:0.000000e+00 2:4.375000e-01
1.250000e-01 1:0.000000e+00 2:5.000000e-01
1.779785e-01 1:0.000000e+00 2:5.625000e-01
2.441406e-01 1:0.000000e+00 2:6.250000e-01
3.249512e-01 1:0.000000e+00 2:6.875000e-01
4.218750e-01 1:0.000000e+00 2:7.500000e-01
5.363770e-01 1:0.000000e+00 2:8.125000e-01
6.699219e-01 1:0.000000e+00 2:8.750000e-01
8.239746e-01 1:0.000000e+00 2:9.375000e-01
1.000000e+00 1:0.000000e+00 2:1.000000e+00
2.441406e-04 1:6.250000e-02 2:0.000000e+00
4.882812e-04 1:6.250000e-02 2:6.250000e-02
2.197266e-03 1:6.250000e-02 2:1.250000e-01
6.835938e-03 1:6.250000e-02 2:1.875000e-01
1.586914e-02 1:6.250000e-02 2:2.500000e-01
3.076172e-02 1:6.250000e-02 2:3.125000e-01
5.297852e-02 1:6.250000e-02 2:3.750000e-01
8.398438e-02 1:6.250000e-02 2:4.375000e-01
1.252441e-01 1:6.250000e-02 2:5.000000e-01
1.782227e-01 1:6.250000e-02 2:5.625000e-01
2.443848e-01 1:6.250000e-02 2:6.250000e-01
3.251953e-01 1:6.250000e-02 2:6.875000e-01
4.221191e-01 1:6.250000e-02 2:7.500000e-01
5.366211e-01 1:6.250000e-02 2:8.125000e-01
6.701660e-01 1:6.250000e-02 2:8.750000e-01
8.242188e-01 1:6.250000e-02 2:9.375000e-01
1.000244e+00 1:6.250000e-02 2:1.000000e+00
1.953125e-03 1:1.250000e-01 2:0.000000e+00
2.197266e-03 1:1.250000e-01 2:6.250000e-02
3.906250e-03 1:1.250000e-01 2:1.250000e-01
8.544922e-03 1:1.250000e-01 2:1.875000e-01
1.757812e-02 1:1.250000e-01 2:2.500000e-01
3.247070e-02 1:1.250000e-01 2:3.125000e-01
5.468750e-02 1:1.250000e-01 2:3.750000e-01
8.569336e-02 1:1.250000e-01 2:4.375000e-01
1.269531e-01 1:1.250000e-01 2:5.000000e-01
1.799316e-01 1:1.250000e-01 2:5.625000e-01
2.460938e-01 1:1.250000e-01 2:6.250000e-01
3.269043e-01 1:1.250000e-01 2:6.875000e-01
4.238281e-01 1:1.250000e-01 2:7.500000e-01
